Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,SMA_200,Close_below_SMA_200,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Short_Ratio,Short_Count,Short_Amount,Target_Price_Uplift,Avg_BB_Price,Close_over_Avg_BB,BB_Value,Close_over_BB,BB_Conf,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-12-10,303.368,308.155,302.77,307.158,17471804,0.0,0.0,313.10139999999996,1,299.73800000000074,0,291.1654399999999,0,318.0456699999996,1,344.5356866666665,1,364.10442999999964,1,25752.38,,,381.0,,,0.1017,0.16137043946032711,0.11728869526826664,0.24040396147910847,212.15587821932118,0.44779396440982944,281.39,0.09157397206723772,4.042208988966631e-06,7.1,3.6,3.4999999999999996,Train / Val
2018-12-11,308.953,312.742,307.357,310.349,17052744,0.0,0.0,313.83939999999996,1,301.5730000000007,0,290.92609999999985,0,317.40342999999956,1,344.0836866666665,1,363.4380299999996,1,25771.67,,,381.0,,,0.1059,0.1644397206194959,0.12178543650804545,0.22765016159227192,212.15587821932118,0.46283479206345324,281.39,0.10291410497885489,3.109391529974331e-06,7.5,3.7,3.8,Train / Val
2018-12-12,315.136,317.928,313.74,315.933,16057644,0.0,0.0,314.0388,0,303.79690000000073,0,290.9220999999999,0,316.8070599999996,1,343.5985866666665,1,362.7388499999997,1,26186.71,0.6705,0.6705,381.0,,,0.1101,0.16038349746214914,0.12148545763857571,0.2059518948637844,212.15587821932118,0.4891550620784437,281.39,0.12275844912754552,2.3918396384417935e-06,5.6,3.2,2.3999999999999995,Train / Val
2018-12-13,317.13,319.923,315.933,317.729,14133698,0.0,0.0,314.697,0,305.3227500000007,0,290.97395999999986,0,316.2844999999996,0,343.0989266666665,1,362.1063649999997,1,26524.35,,,381.0,,,0.0782,0.08846687779272049,0.0660831752322594,0.19913511199796052,212.15587821932118,0.4976205357437238,281.39,0.12914104978854968,1.8398766449552255e-06,5.0,3.7,1.2999999999999998,Train / Val
2018-12-14,310.349,311.546,306.958,307.955,17041560,0.0,0.0,314.3778,1,306.24020000000075,0,290.98193999999984,0,315.6223099999996,1,342.4571466666665,1,361.39017999999976,1,26094.79,,,381.0,,,0.1499,0.2456401023816754,0.1827932806538677,0.2371937458394895,212.15587821932118,0.45155063618668234,281.39,0.09440633995522218,1.4152897268886348e-06,8.4,3.5,4.9,Train / Val
2018-12-17,309.95,309.95,304.565,307.955,13791123,0.0,0.0,312.7821,1,307.1177500000007,0,291.05771999999985,0,314.91424999999964,1,341.79811999999987,1,360.6759849999998,1,26087.98,,,381.0,,,0.2415,0.3298230011713158,0.24532575365057882,0.2371937458394895,212.15587821932118,0.45155063618668234,281.39,0.09440633995522218,1.08868440529895e-06,9.5,3.6,5.9,Train / Val
2018-12-18,301.573,304.764,299.379,301.972,18770121,0.0,0.0,310.22909999999996,1,308.1748500000007,1,291.13351999999986,0,314.19621999999964,1,341.0793066666665,1,359.96670499999976,1,25814.25,0.0,0.0,381.0,,,0.1027,0.17756279554032364,0.12756464954312244,0.2617063833732929,212.15587821932118,0.4233496735255633,281.39,0.07314403496925981,8.374495425376537e-07,11.6,3.7,7.8999999999999995,Train / Val
2018-12-19,300.177,303.966,299.977,302.171,14666479,0.0,0.0,308.43399999999997,1,308.8430000000007,1,291.31701999999984,0,313.4981299999996,1,340.45336666666657,1,359.3270849999998,1,25865.39,-0.1531,-0.1531,381.0,,,0.071,0.08151490173962084,0.05621648193998117,0.2608754645548381,212.15587821932118,0.4242876630909258,281.39,0.07385123849461595,6.441919557981951e-07,13.7,3.9,9.799999999999999,Train / Val
2018-12-20,299.379,304.166,298.781,300.775,16290305,0.0,0.0,308.1747,1,309.1721000000007,1,291.62017999999983,0,312.8439199999996,1,339.8300666666666,1,358.60684499999974,1,25623.53,,,381.0,,,0.11109999999999999,0.1648193136957182,0.11764897577410434,0.2667276203141884,212.15587821932118,0.41770759558717807,281.39,0.06889015245744345,4.955322736909193e-07,14.2,3.9,10.299999999999999,Train / Val
2018-12-21,297.384,317.729,296.188,314.338,41628409,0.0,0.0,308.6335,0,310.36880000000065,0,292.58153999999985,0,312.44501999999966,0,339.19899999999996,1,358.00915499999974,1,25753.42,,,381.0,,,0.0983,0.4125851373042384,0.31022563405675846,0.21207108271987463,212.15587821932118,0.48163700500933393,281.39,0.11709015956501667,3.8117867206993795e-07,9.3,2.9,6.4,Train / Val
2018-12-24,314.338,314.338,307.756,309.75,14579845,0.0,0.0,308.8927,0,310.9970500000006,1,293.0243199999998,0,312.00222999999966,1,338.5314933333333,1,357.4432549999998,1,25651.38,,,381.0,,,0.1216,0.16089323673593336,0.1187632125884753,0.2300242130750605,212.15587821932118,0.46001139633655863,281.39,0.10078538682966709,2.9321436313072144e-07,10.9,3.4,7.5,Train / Val
2018-12-27,311.147,315.933,306.16,308.753,17646140,0.0,0.0,308.73310000000004,0,311.2862500000006,1,293.55885999999987,0,311.64919999999967,1,337.87728666666663,1,356.80469999999974,1,25478.88,0.0,0.0,381.0,,,0.09609999999999999,0.15247711596026203,0.1131892566379498,0.2339961069204186,212.15587821932118,0.45531202147893923,281.39,0.09724226162976657,2.25549510100555e-07,11.2,3.1,8.1,Train / Val
2018-12-28,310.149,311.944,307.556,309.152,11541991,0.0,0.0,308.055,0,311.0469000000006,1,294.12929999999983,0,311.2522899999996,1,337.2323866666666,1,356.1900349999997,1,25504.2,,,381.0,,,0.129,0.13004858791375645,0.09506469604643175,0.23240347790083837,212.15587821932118,0.4571927141250678,281.39,0.09866022246703854,1.7349962315427307e-07,12.6,3.9,8.7,Train / Val
2018-12-31,309.152,316.332,309.152,313.141,9891851,0.0,0.0,307.59620000000007,0,311.1466000000006,0,294.78749999999985,0,310.8633599999996,0,336.61407999999994,1,355.5515299999997,1,25845.7,,,381.0,,,0.1711,0.1521734414992842,0.11392454259129906,0.21670429614774167,212.15587821932118,0.4759949270709487,281.39,0.11283627705320032,1.3346124858021003e-07,11.1,3.7,7.3999999999999995,Train / Val
2019-01-02,314.138,314.138,305.362,305.761,15721297,0.0,0.0,307.37680000000006,1,310.8773000000006,1,295.2781399999999,0,310.3607399999996,1,335.96651999999995,1,354.85621999999967,1,25130.35,,,381.0,,,0.20679999999999998,0.32120081558283803,0.23829571177997086,0.24607127789351813,212.15587821932118,0.44120918339067816,281.39,0.08660933224350553,1.0266249890785389e-07,13.8,3.5,10.3,Train / Val
2019-01-03,303.168,308.554,301.972,304.166,16420034,0.0,0.0,306.9979000000001,1,309.8900000000006,1,295.55337999999983,0,309.7723599999996,1,335.30034666666666,1,354.0882499999997,1,25064.36,,,381.0,,,0.24059999999999998,0.39707604876144204,0.2926236628665715,0.2526054851627073,212.15587821932118,0.4336911263215679,281.39,0.08094104268097668,7.897115300604143e-08,15.1,3.3,11.8,Train / Val
2019-01-04,299.578,310.149,299.578,309.75,19329055,0.0,0.0,307.77570000000003,0,309.0024000000006,0,296.20757999999984,0,309.15404999999964,0,334.69267999999994,1,353.33426999999966,1,25626.03,0.7959,0.7959,381.0,,,0.319,0.6372608563619799,0.4759551340319894,0.2300242130750605,212.15587821932118,0.46001139633655863,281.39,0.10078538682966709,6.074704077387801e-08,13.3,3.2,10.100000000000001,Train / Val
2019-01-07,317.13,317.928,312.742,316.731,24890962,0.0,0.0,309.23170000000005,0,308.8328500000006,0,297.0412799999998,0,308.6314799999996,0,334.1780866666666,1,352.6112149999997,1,25835.7,,,381.0,,,0.2369,0.6079996529434731,0.468626525781809,0.20291351335991736,212.15587821932118,0.4929164473707006,281.39,0.12559437080208968,4.67284929029831e-08,10.8,3.4,7.4,Train / Val
2019-01-08,317.13,317.729,311.147,314.737,16264928,0.0,0.0,310.62790000000007,0,309.40130000000056,0,297.9707399999998,0,308.17871999999966,0,333.62228,1,351.8533099999996,1,25875.45,0.4767,0.4767,381.0,,,0.21960000000000002,0.3559715413647998,0.27077853485407233,0.21053450976529597,212.15587821932118,0.4835176976554625,281.39,0.11850812040228886,3.594499454075622e-08,11.5,4.5,7.0,Train / Val
2019-01-09,318.925,326.704,318.526,326.704,31878589,0.0,0.0,311.8645,0,310.24900000000054,0,299.3190399999998,0,307.96929999999963,0,333.11433999999997,1,351.1721599999996,1,26462.32,,,381.0,,,0.2227,0.7385362890980869,0.5845519824452358,0.16619325138351537,212.15587821932118,0.5399243364931043,281.39,0.1610362841607733,2.764999580058171e-08,7.7,3.9,3.8000000000000003,Train / Val
2019-01-10,328.1,328.898,322.316,328.1,24908010,0.0,0.0,313.69950000000006,0,311.29610000000054,0,300.6952599999998,0,307.8994899999996,0,332.54257333333334,1,350.51490499999966,1,26521.43,,,381.0,,,0.2699,0.6975727734154701,0.5568429663453944,0.16123133191100258,212.15587821932118,0.5465044039968521,281.39,0.16599737019794603,2.1269227538909006e-08,7.3,3.8,3.5,Train / Val
