Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Short_Ratio,Target_Price_Uplift,Avg_BB_Price,Close_over_Avg_BB,BB_Value,Close_over_BB,BB_Conf,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-04-17,401.236,404.62,393.076,395.265,28414345,0.0,0.0,406.11239999999975,1,421.7955500000001,1,432.2803000000003,1,424.5377199999999,1,411.4489133333333,1,30062.75,,,,,,0.1362,-0.6216076406517927,,0.0,,0.0,0.0,4.9,,,Train / Val
2018-04-18,402.231,403.027,391.484,398.052,28121104,0.0,0.0,405.1769999999998,1,418.5514500000001,1,431.0145000000003,1,424.5377199999999,1,411.4489133333333,1,30284.25,,,,,,0.0951,-0.6216076406517927,,0.0,,0.0,0.0,6.0,,,Train / Val
2018-04-19,402.032,405.217,398.649,403.824,21812372,0.0,0.0,405.99299999999977,1,415.7651000000002,1,429.9357800000003,1,424.5377199999999,1,411.4489133333333,1,30708.44,,,,,,0.1303,-0.6216076406517927,,0.0,,0.0,0.0,4.5,,,Train / Val
2018-04-20,404.023,404.819,396.46,398.251,18108773,0.0,0.0,405.43569999999977,1,412.4613000000002,1,428.8968600000003,1,424.5377199999999,1,411.4489133333333,1,30418.33,,,,,,0.085,-0.6216076406517927,,0.0,,0.0,0.0,6.0,,,Train / Val
2018-04-23,395.663,398.251,391.683,392.081,19316986,0.0,0.0,403.8434999999997,1,409.04800000000023,1,427.96144000000027,1,424.5377199999999,1,411.4489133333333,1,30254.4,,,,,,0.1105,-0.6216076406517927,,0.0,,0.0,0.0,7.7,,,Train / Val
2018-04-24,394.668,397.455,392.28,394.668,14521724,0.0,0.0,401.7934999999997,1,406.9184000000002,1,427.6947400000003,1,424.5377199999999,1,411.4489133333333,1,30636.24,,,,,,0.044199999999999996,-0.6216076406517927,,0.0,,0.0,0.0,7.0,,,Train / Val
2018-04-25,388.897,391.086,382.926,384.916,34823644,0.0,0.0,398.5294999999997,1,405.2665000000002,1,427.1374600000004,1,424.5377199999999,1,411.4489133333333,1,30328.15,,,,,,0.1009,-0.6216076406517927,,0.0,,0.0,0.0,9.7,,,Train / Val
2018-04-26,386.11,388.698,375.363,380.339,34961200,0.0,0.0,395.4445999999997,1,403.05735000000016,1,426.38118000000037,1,424.5377199999999,1,411.4489133333333,1,30007.68,-0.128,-0.128,,,,0.071,-0.6216076406517927,,0.0,,0.0,0.0,11.0,,,Train / Val
2018-04-27,388.1,388.897,381.135,386.508,26446726,0.0,0.0,393.4940999999997,1,400.8780000000002,1,426.0030200000004,1,424.5377199999999,1,411.4489133333333,1,30280.67,,,,,,0.139,-0.6216076406517927,,0.0,,0.0,0.0,9.2,,,Train / Val
2018-04-30,390.489,391.683,387.304,389.096,12881205,0.0,0.0,392.29999999999967,1,399.8232000000002,1,425.63284000000044,1,424.5377199999999,1,411.4489133333333,1,30808.45,,,,,,0.0365,-0.6216076406517927,,0.0,,0.0,0.0,8.5,,,Train / Val
2018-05-02,389.096,394.867,389.096,391.484,19203910,0.0,0.0,391.9218999999997,1,399.01715000000024,1,425.05566000000044,1,424.5377199999999,1,411.4489133333333,1,30723.88,,,,,,0.0633,-0.6216076406517927,,0.0,,0.0,0.0,7.8,,,Train / Val
2018-05-03,387.503,388.698,382.528,383.125,23905086,0.0,0.0,390.4291999999997,1,397.8031000000002,1,424.0884000000004,1,424.5377199999999,1,411.4489133333333,1,30313.37,-0.4023,-0.4023,,,,0.045899999999999996,-0.6216076406517927,,0.0,,0.0,0.0,10.2,,,Train / Val
2018-05-04,387.702,387.702,380.139,380.936,19325968,0.0,0.0,388.1403999999997,1,397.06670000000025,1,422.81066000000044,1,424.5377199999999,1,411.4489133333333,1,29926.5,,,,,,0.057800000000000004,-0.6216076406517927,,0.0,,0.0,0.0,10.8,,,Train / Val
2018-05-07,386.11,386.906,373.572,378.149,34266791,0.0,0.0,386.1301999999997,1,395.7829500000003,1,421.50106000000045,1,424.5377199999999,1,411.4489133333333,1,29994.26,,,,,,0.0417,-0.6216076406517927,,0.0,,0.0,0.0,11.6,,,Train / Val
2018-05-08,382.13,391.683,380.139,388.698,33393975,0.0,0.0,385.7918999999997,0,394.8177000000003,1,420.1596400000004,1,424.5377199999999,1,411.4489133333333,1,30402.81,,,,,,0.0626,-0.6216076406517927,,0.0,,0.0,0.0,9.0,,,Train / Val
