Model,Live,Test,Train / Val,Remark
model_20200212-160541.h5,,7.173333333333335,4.729522184300341,self stock price LSTM - 20N
model_20200212-160613.h5,,6.386666666666668,4.388737201365186,self stock price LSTM - 20N
model_20200212-160815.h5,,5.391249999999999,4.610777385159012,self stock price LSTM - 20N
model_20200212-162648.h5,,5.985000000000001,4.8697879858657185,self stock price LSTM - 20N
model_20200212-162832.h5,,5.505000000000003,4.8309187279151935,self stock price LSTM - 20N
model_20200212-162918.h5,,5.112499999999997,4.504063604240279,self stock price LSTM - 20N
model_20200212-162948.h5,,5.48875,4.490812720848057,self stock price LSTM - 20N
model_20200212-163017.h5,,5.641249999999999,4.574204946996464,self stock price LSTM - 20N
model_20200213-091415.h5,,5.016249999999999,4.506713780918728,self stock price LSTM - 20N
model_20200213-091622.h5,,4.9099999999999975,4.459540636042409,self stock price LSTM - 20N
model_20200213-091702.h5,,4.713749999999999,4.517667844522965,self stock price LSTM - 20N
model_20200213-091941.h5,,5.146249999999998,4.762544169611299,self stock price LSTM - 20N
model_20200213-092158.h5,,7.20125,8.11236749116607,self stock price LSTM - 20N
model_20200213-092224.h5,,6.1837500000000025,6.417137809187275,self stock price LSTM - 20N
model_20200213-092252.h5,,4.962500000000002,4.740106007067135,self stock price LSTM - 20N
model_20200213-092336.h5,,10.42125,8.634275618374554,self stock price LSTM - 20N
model_20200213-092453.h5,,9.38125,7.737279151943455,self stock price LSTM - 20N
model_20200213-092739.h5,,4.896250000000001,4.617844522968191,self stock price LSTM - 20N
model_20200213-093142.h5,,10.125000000000002,9.08838028169014,self stock price LSTM - 20N
model_20200213-093353.h5,,4.39125,3.5957746478873216,self stock price LSTM - 20N
model_20200213-093613.h5,,4.541250000000002,3.8932980599647236,self stock price LSTM - 20N
model_20200213-093810.h5,,5.4674999999999985,3.922574955908289,self stock price LSTM - 20N
model_20200213-094000.h5,,5.62875,4.125044091710759,self stock price LSTM - 20N
model_20200213-094314.h5,,4.279999999999999,3.9641975308641983,self stock price LSTM - 20N
model_20200213-094436.h5,,5.549999999999999,3.725220458553791,self stock price LSTM - 20N
model_20200213-094559.h5,,5.276250000000002,3.550970017636682,self stock price LSTM - 20N
model_20200213-094710.h5,,5.022499999999999,3.748853615520277,self stock price LSTM - 20N
model_20200213-094828.h5,,5.719999999999998,3.674426807760143,self stock price LSTM - 20N
model_20200213-095316.h5,,4.76,3.939858906525571,self stock price LSTM - 20N
model_20200213-095831.h5,,4.685,3.832627865961197,self stock price LSTM - 20N
model_20200213-100138.h5,,7.335000000000001,5.161728395061728,self stock price LSTM - 20N
model_20200213-100450.h5,,4.145000000000001,3.1098765432098747,self stock price LSTM - 20N
model_20200213-101457.h5,,6.253750000000003,4.403350970017644,self stock price LSTM - 20N
model_20200213-101840.h5,,7.1662500000000025,5.426455026455021,self stock price LSTM - 20N
model_20200213-102128.h5,,6.60625,3.7049382716049415,self stock price LSTM - 20N
model_20200213-102512.h5,,4.446250000000001,3.1873015873015884,self stock price LSTM - 20N
model_20200213-103031.h5,,5.34625,3.573721340388009,self stock price LSTM - 20N
model_20200213-103521.h5,,4.585000000000003,3.188359788359786,self stock price LSTM - 20N
model_20200213-103937.h5,,5.007499999999999,3.8784832451499134,self stock price LSTM - 20N
model_20200213-104212.h5,,5.4475,3.6255731922398597,self stock price LSTM - 20N
model_20200213-105037.h5,,5.605000000000001,3.9793650793650763,self stock price LSTM - 20N
