Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-03-13,63.725,64.192,63.538,64.005,4732329,0.0,0.0,63.21109999999986,0,62.307099999999934,0,64.38469999999997,1,63.90204000000003,0,62.10547333333341,0,31601.45,,1.0,1.5,0.5,Train / Val
2018-03-14,64.099,64.099,63.351,64.005,3368645,0.0,0.0,63.36059999999986,0,62.423899999999925,0,64.31087999999997,1,63.949960000000026,0,62.14262666666673,0,31435.01,,1.0,-1.2,2.2,Train / Val
2018-03-15,63.351,64.286,63.351,64.286,3472971,0.0,0.0,63.37459999999987,0,62.57809999999993,0,64.22865999999998,0,64.00023000000003,0,62.1828733333334,0,31541.1,,0.7,-0.6,1.2999999999999998,Train / Val
2018-03-16,63.632,64.192,63.538,64.192,9672569,0.0,0.0,63.36519999999987,0,62.72989999999993,0,64.13615999999998,0,64.03258000000002,0,62.22372000000006,0,31501.97,,0.9,1.6,0.7000000000000001,Train / Val
2018-03-19,64.286,64.659,63.725,64.659,2752915,0.0,0.0,63.565999999999875,0,62.94009999999994,0,64.05579999999998,0,64.06776000000002,0,62.26951333333338,0,31513.76,,0.3,-1.8,2.1,Train / Val
2018-03-20,64.192,64.192,63.632,63.725,6513757,0.0,0.0,63.701499999999875,0,63.08959999999994,0,63.94739999999997,1,64.09911000000002,1,62.31183333333338,0,31549.93,,2.2,2.5,0.2999999999999998,Train / Val
2018-03-21,63.538,64.473,63.538,63.632,5638288,0.0,0.0,63.86509999999987,1,63.20874999999994,0,63.84835999999998,1,64.13183000000002,1,62.34956000000005,0,31414.52,,2.3,-6.1,8.399999999999999,Train / Val
2018-03-22,64.286,64.286,62.791,63.772,4700482,0.0,0.0,63.88849999999987,1,63.36059999999994,0,63.736239999999974,0,64.16044000000002,1,62.38852000000005,0,31071.05,,2.1,-6.6,8.7,Train / Val
2018-03-23,62.183,63.398,62.137,63.351,4288996,0.0,0.0,63.92119999999987,1,63.48204999999994,1,63.65681999999997,1,64.18300000000002,1,62.42222666666672,0,30309.29,,2.8,-7.2,10.0,Train / Val
2018-03-26,63.071,63.071,62.324,62.978,2157604,0.0,0.0,63.86049999999987,1,63.48909999999994,1,63.58487999999998,1,64.20872000000003,1,62.454673333333375,0,30548.77,,3.4,-4.9,8.3,Train / Val
2018-03-27,62.978,63.445,62.837,63.351,2709122,0.0,0.0,63.79509999999986,1,63.50309999999995,1,63.53535999999998,1,64.24046000000003,1,62.49082666666671,0,30790.83,0.0,2.8,-6.6,9.399999999999999,Train / Val
2018-03-28,62.744,63.959,62.464,62.884,3780166,0.0,0.0,63.682999999999865,1,63.52179999999995,1,63.47367999999999,1,64.27855000000002,1,62.524480000000054,0,30022.53,0.0,3.8,-4.9,8.7,Train / Val
2018-03-29,62.604,62.884,62.23,62.604,4704518,0.0,0.0,63.51479999999988,1,63.444699999999955,1,63.40827999999998,1,64.31705000000002,1,62.553513333333385,0,30093.38,,4.3,-2.6,6.9,Train / Val
2018-04-03,62.23,62.837,61.95,62.324,3711753,0.0,0.0,63.327999999999875,1,63.34659999999995,1,63.332599999999985,1,64.34265000000002,1,62.58068000000005,1,30180.1,,4.7,-4.4,9.100000000000001,Train / Val
2018-04-04,62.604,62.604,61.483,61.483,4940331,0.0,0.0,63.01039999999987,1,63.28819999999995,1,63.24289999999999,1,64.36398000000003,1,62.601933333333385,1,29518.69,,6.2,-0.6,6.8,Train / Val
2018-04-06,61.483,62.604,61.483,62.417,6074012,0.0,0.0,62.87959999999987,1,63.29054999999995,1,63.16813999999999,1,64.37858000000001,1,62.62819333333339,1,29844.94,,4.6,-2.3,6.8999999999999995,Train / Val
2018-04-09,62.557,64.005,62.464,63.678,4547201,0.0,0.0,62.88419999999987,0,63.37464999999995,0,63.12421999999999,0,64.40579000000001,1,62.66469333333339,0,30229.58,,2.5,-0.5,3.0,Train / Val
2018-04-10,63.071,63.959,62.884,63.725,3149032,0.0,0.0,62.87949999999987,0,63.38399999999994,0,63.060679999999984,0,64.40868000000002,1,62.700280000000056,0,30728.74,,2.4,2.0,0.3999999999999999,Train / Val
2018-04-11,63.071,63.865,63.071,63.492,2934409,0.0,0.0,62.893599999999864,0,63.40739999999994,0,63.00369999999999,0,64.41154000000002,1,62.73248000000006,0,30897.71,0.0,2.8,2.0,0.7999999999999998,Train / Val
2018-04-12,63.912,64.005,63.118,63.819,2388713,0.0,0.0,62.97769999999987,0,63.419099999999936,0,62.963539999999995,0,64.41996000000003,1,62.762573333333386,0,30831.28,,2.3,-0.7,3.0,Train / Val
2018-04-13,64.005,64.005,63.351,63.632,1607316,0.0,0.0,63.005799999999866,0,63.400449999999935,0,62.9187,0,64.42514000000003,1,62.79112000000005,0,30808.38,,2.6,-3.0,5.6,Train / Val
2018-04-16,63.632,63.632,62.651,63.258,2002260,0.0,0.0,63.043199999999864,0,63.36309999999994,1,62.876659999999994,0,64.42704000000002,1,62.82053333333338,0,30315.59,,3.2,-1.9,5.1,Train / Val
2018-04-17,63.538,64.753,63.071,64.192,5530286,0.0,0.0,63.20199999999986,0,63.35839999999994,0,62.86637999999999,0,64.44103000000003,1,62.853113333333376,0,30062.75,,1.7,0.7,1.0,Train / Val
2018-04-18,64.473,64.659,63.492,64.239,2731801,0.0,0.0,63.39349999999987,0,63.36074999999994,0,62.85797999999999,0,64.44815000000003,1,62.886620000000036,0,30284.25,,1.6,-1.0,2.6,Train / Val
2018-04-19,64.286,64.846,64.099,64.846,3124451,0.0,0.0,63.72979999999988,0,63.37009999999994,0,62.86451999999999,0,64.45950000000002,0,62.92662000000004,0,30708.44,,0.6,-1.3,1.9,Train / Val
2018-04-20,64.893,65.127,63.678,63.865,2653572,0.0,0.0,63.87459999999987,1,63.37709999999994,0,62.871059999999986,0,64.45763000000002,1,62.956413333333366,0,30418.33,,2.2,-9.6,11.8,Train / Val
2018-04-23,63.351,63.819,62.324,63.071,3465118,0.0,0.0,63.813899999999876,1,63.349049999999934,1,62.87759999999999,0,64.45156000000001,1,62.98091333333336,0,30254.4,,3.5,-7.7,11.2,Train / Val
2018-04-24,62.417,63.164,62.417,62.978,3589122,0.0,0.0,63.73919999999987,1,63.30934999999994,1,62.90095999999998,0,64.43802000000001,1,63.00387333333336,1,30636.24,,4.5,-4.0,8.5,Train / Val
